symbol,feature,raw_col,ic_alpha_pearson,ic_alpha_spearman,ic_raw_spearman,lift_spearman
BTCUSDT,dom_level_vs_ref,dom_level_vs_eth,-0.021694421713864456,-0.036175972606541956,0.03187078333682701,-0.06804675594336897
BTCUSDT,dom_change_12b_vs_ref,dom_change_12b_vs_eth,0.025257069347688125,0.022569427276003896,0.02177559194556515,0.0007938353304387455
BTCUSDT,dom_change_48b_vs_ref,dom_change_48b_vs_eth,0.03694562581598368,0.029073632353695502,0.037126901176885156,-0.008053268823189654
BTCUSDT,dom_change_288b_vs_ref,dom_change_288b_vs_eth,0.014018678357022297,0.015337745202668479,0.0530002373109853,-0.03766249210831682
BTCUSDT,dom_z_1d_vs_ref,dom_z_1d_vs_eth,0.03469882697983164,0.029729533606307954,0.05491703145784486,-0.025187497851536903
BTCUSDT,dom_z_7d_vs_ref,dom_z_7d_vs_eth,0.016757883684229296,0.025204137923236537,0.0628146606585547,-0.03761052273531817
BTCUSDT,ref_ret_12b,eth_ret_12b,-0.03510107615069019,-0.03315465658237637,-0.021313884109356807,-0.01184077247301956
BTCUSDT,ref_ret_48b,eth_ret_48b,-0.05775412706014135,-0.060224735801215144,-0.03308631432882414,-0.027138421472391004
BTCUSDT,ref_ema_slope_4h,eth_ema_slope_4h,-0.05680904425867694,-0.061385185748357884,-0.04136891181104534,-0.02001627393731254
BTCUSDT,ref_ema_diff_short_long,eth_ema_diff_short_long,-0.05837124861406981,-0.06330311227373464,-0.04296328434144555,-0.02033982793228909
BTCUSDT,ref_realized_vol_1h,eth_realized_vol_1h,-0.0071467649771887925,-0.014617151275996243,0.01841819667006241,-0.033035347946058655
BTCUSDT,beta_zscore_vs_ref,beta_zscore_vs_eth,0.010079018310765115,0.02085974742033553,0.011654928416355924,0.009204819003979608
BTCUSDT,beta_short_vs_ref,beta_short_vs_eth,0.013554569186466737,0.03625425081255673,0.028218802344577767,0.008035448467978965
BTCUSDT,idio_ret_12b_vs_ref,idio_ret_12b_vs_eth,-0.01481880820799359,-0.0032193311599705053,0.006845376020906133,-0.01006470718087664
BTCUSDT,idio_ret_48b_vs_ref,idio_ret_48b_vs_eth,-0.023991315042346244,-0.010380256450676554,0.02876335353657616,-0.03914360998725271
BTCUSDT,idio_vol_1h_vs_ref,idio_vol_1h_vs_eth,-0.014078263694174956,-0.024698096952300342,0.009942101764457022,-0.034640198716757366
BTCUSDT,idio_vol_1d_vs_ref,idio_vol_1d_vs_eth,-0.019306199053545213,-0.030259449698803065,-0.007652752255368624,-0.02260669744343444
BTCUSDT,idio_vol_ratio_vs_ref,idio_vol_ratio_vs_eth,-0.005481989231127354,-0.009539030207999554,0.02362990269900362,-0.03316893290700317
BTCUSDT,corr_1d_vs_ref,corr_1d_vs_eth,0.009501228473467556,0.02517760997001828,0.016700018394441633,0.008477591575576648
BTCUSDT,corr_change_3d_vs_ref,corr_change_3d_vs_eth,0.03170900958985061,0.04461618872410644,0.03119612878987347,0.013420059934232974
BTCUSDT,tfi_diff_vs_ref,tfi_diff_vs_eth,0.03227361581877128,0.025606463491467658,0.0009984168224045319,0.024608046669063126
BTCUSDT,signed_vol_z_diff_vs_ref,signed_vol_z_diff_vs_eth,0.0019573472364797953,0.00308593033623728,0.0007812156985668536,0.0023047146376704263
ETHUSDT,dom_level_vs_ref,dom_level_vs_btc,-0.0659834019599855,-0.0899399458634218,-0.08043130072004798,-0.009508645143373823
ETHUSDT,dom_change_12b_vs_ref,dom_change_12b_vs_btc,0.02878590067000487,0.00480116383169242,-0.012730831420845665,0.017531995252538086
ETHUSDT,dom_change_48b_vs_ref,dom_change_48b_vs_btc,0.04494617297529179,-0.0012028921928108,-0.022978713464246976,0.021775821271436176
ETHUSDT,dom_change_288b_vs_ref,dom_change_288b_vs_btc,0.027014303273844117,-0.014502923554230315,-0.03884077123871546,0.024337847684485145
ETHUSDT,dom_z_1d_vs_ref,dom_z_1d_vs_btc,0.04145474201966861,-0.00985050867373421,-0.044200844614257565,0.034350335940523356
ETHUSDT,dom_z_7d_vs_ref,dom_z_7d_vs_btc,0.034140937897310306,-0.021683159942334763,-0.045441037917656024,0.02375787797532126
ETHUSDT,ref_ret_12b,btc_ret_12b,0.0488928212633637,0.017250398195888413,0.0014740047489724547,0.01577639344691596
ETHUSDT,ref_ret_48b,btc_ret_48b,0.0821439047843409,0.049440828061546975,0.016991510861785086,0.03244931719976189
ETHUSDT,ref_ema_slope_4h,btc_ema_slope_4h,0.07932892963209909,0.043825216181052305,0.011356073064526637,0.03246914311652567
ETHUSDT,ref_ema_diff_short_long,btc_ema_diff_short_long,0.08182996988729531,0.044954690312046505,0.010949700508811954,0.03400498980323455
ETHUSDT,ref_realized_vol_1h,btc_realized_vol_1h,0.011210472555543026,0.026128736169208387,0.04199301671912575,-0.015864280549917367
ETHUSDT,beta_zscore_vs_ref,beta_zscore_vs_btc,0.001861554819331027,0.023067202938061235,-0.007662679419024083,0.03072988235708532
ETHUSDT,beta_short_vs_ref,beta_short_vs_btc,0.009560788328288059,0.019846948579116154,0.0027850717189330343,0.01706187686018312
ETHUSDT,idio_ret_12b_vs_ref,idio_ret_12b_vs_btc,0.011337582263945687,0.002688062526001852,-0.009092344613003603,0.011780407139005456
ETHUSDT,idio_ret_48b_vs_ref,idio_ret_48b_vs_btc,0.01996188674631034,-0.012242199412144704,-0.030502957149885577,0.01826075773774087
ETHUSDT,idio_vol_1h_vs_ref,idio_vol_1h_vs_btc,0.01786685687523226,0.029633445143542752,0.010843073342783617,0.018790371800759133
ETHUSDT,idio_vol_1d_vs_ref,idio_vol_1d_vs_btc,0.043205257773110295,0.04851009154354432,0.015621624341022586,0.03288846720252173
ETHUSDT,idio_vol_ratio_vs_ref,idio_vol_ratio_vs_btc,-0.007374050491270698,0.00431406126088718,0.011410365954657848,-0.007096304693770668
ETHUSDT,corr_1d_vs_ref,corr_1d_vs_btc,-0.03014919914725441,-0.021693032641433203,-0.014675041412749017,-0.007017991228684186
ETHUSDT,corr_change_3d_vs_ref,corr_change_3d_vs_btc,-0.02820831043350502,-0.026491214525999167,0.005993775402684628,-0.032484989928683795
ETHUSDT,tfi_diff_vs_ref,tfi_diff_vs_btc,0.033254975375560714,0.02819755851714686,0.010951954839036911,0.01724560367810995
ETHUSDT,signed_vol_z_diff_vs_ref,signed_vol_z_diff_vs_btc,0.000948556452546158,0.003981160217020382,0.0006091986220303524,0.003371961594990029
SOLUSDT,dom_level_vs_ref,dom_level_vs_btc,-0.05207843667774691,-0.06951535608509524,-0.06661695981127361,-0.0028983962738216296
SOLUSDT,dom_change_12b_vs_ref,dom_change_12b_vs_btc,-0.0076940643218618805,-0.01428511309793793,-0.007459903471551801,-0.00682520962638613
SOLUSDT,dom_change_48b_vs_ref,dom_change_48b_vs_btc,-0.02212223824130484,-0.03594918336825147,-0.027586049025371644,-0.008363134342879823
SOLUSDT,dom_change_288b_vs_ref,dom_change_288b_vs_btc,-0.020335800536330783,-0.039683182644159196,-0.037564343091539415,-0.0021188395526197806
SOLUSDT,dom_z_1d_vs_ref,dom_z_1d_vs_btc,-0.02674774648629485,-0.05250225414741944,-0.04646545860525005,-0.00603679554216939
SOLUSDT,dom_z_7d_vs_ref,dom_z_7d_vs_btc,-0.019629872062820165,-0.0448057648229686,-0.02250337547082316,-0.02230238935214544
SOLUSDT,ref_ret_12b,btc_ret_12b,0.028625845327484693,0.014731303016888278,0.003325616205254493,0.011405686811633786
SOLUSDT,ref_ret_48b,btc_ret_48b,0.03823665439787073,0.023148813517846673,0.011602813229884736,0.011546000287961936
SOLUSDT,ref_ema_slope_4h,btc_ema_slope_4h,0.037427972586899096,0.017006824897059264,0.006059554301132189,0.010947270595927075
SOLUSDT,ref_ema_diff_short_long,btc_ema_diff_short_long,0.03874959960934561,0.018116521726011383,0.00587845308465284,0.012238068641358544
SOLUSDT,ref_realized_vol_1h,btc_realized_vol_1h,0.025951245590428624,0.017912778094625468,0.02807673127451735,-0.010163953179891883
SOLUSDT,beta_zscore_vs_ref,beta_zscore_vs_btc,-0.01829739353863022,-0.008460604601498814,-0.009719532944972372,0.001258928343473558
SOLUSDT,beta_short_vs_ref,beta_short_vs_btc,-0.01665220303897939,-0.009977568346985943,-0.01779377894322771,0.007816210596241768
SOLUSDT,idio_ret_12b_vs_ref,idio_ret_12b_vs_btc,-0.014781201992544757,-0.024640917510576524,-0.008573769853408256,-0.016067147657168268
SOLUSDT,idio_ret_48b_vs_ref,idio_ret_48b_vs_btc,-0.03600638193105773,-0.048499479485527894,-0.0329854530244096,-0.015514026461118297
SOLUSDT,idio_vol_1h_vs_ref,idio_vol_1h_vs_btc,0.03046370526049197,0.023984496362983623,-0.0005892728187678745,0.024573769181751498
SOLUSDT,idio_vol_1d_vs_ref,idio_vol_1d_vs_btc,0.013501268001304995,0.02107888749294933,-0.024514178353469473,0.045593065846418805
SOLUSDT,idio_vol_ratio_vs_ref,idio_vol_ratio_vs_btc,0.010912562542542286,0.017146745582012138,0.020625148927263373,-0.0034784033452512353
SOLUSDT,corr_1d_vs_ref,corr_1d_vs_btc,-0.00021390138770063194,0.00843226819775692,0.009996983597258853,-0.0015647153995019328
SOLUSDT,corr_change_3d_vs_ref,corr_change_3d_vs_btc,0.007458844820729088,-0.000505136215405681,0.029581794083587912,-0.030086930298993595
SOLUSDT,tfi_diff_vs_ref,tfi_diff_vs_btc,0.00048032975185164967,-0.0028073331434181107,-0.00807329502164062,0.005265961878222508
SOLUSDT,signed_vol_z_diff_vs_ref,signed_vol_z_diff_vs_btc,-0.006560705331105762,-0.006249801538710913,-0.005792389471467988,-0.0004574120672429247
